-71.6586373374,-33.0301927828
-71.54053431,-33.0480368147
-71.6098855063,-33.0428566617
-71.5879128501,-33.0629999897
-71.627051644,-33.0353736805
-71.5501473472,-32.9875827439
-71.583792977,-33.0255872846
-71.6561581604,-33.0323908805
-71.5656813365,-33.0459836627
-71.587177448,-33.0342513773
-71.5346239116,-33.0160753163
-71.595733895,-33.059571001
-71.6229395094,-33.0546986258
-71.5637514145,-33.016340008
-71.5951070488,-33.0530099745
-71.6454579533,-33.0269489861
-71.5476115589,-33.024871686
-71.5401493461,-33.035175309
-71.6298829542,-33.0369656795
-71.5824383526,-33.0522116631
-71.5807325012,-33.0416171564
-71.6530175462,-33.0301852883
-71.5947001326,-33.0341896112
-71.6202706361,-33.0516655103
-71.6427821751,-33.0495580725
-71.5482345327,-33.0112938746
-71.5729081548,-33.0448799978
-71.5788515435,-33.0465017544
-71.5852738155,-33.039165966
-71.5842061473,-33.0323618172
-71.5602477195,-33.0262022381
-71.6496778384,-33.0353811623
-71.5456550114,-33.032767033
-71.5641672679,-33.0269953723
-71.5702641767,-33.0321380554
-71.5889038306,-33.0339622658
-71.5788463608,-33.049765657
-71.5968813479,-33.0369143642
-71.5749054172,-33.0566225092
-71.5615760994,-33.015237575
-71.6151126653,-33.0546563668
-71.6490680662,-33.0293880503
-71.5401685957,-33.0158646745
-71.5619236354,-33.0378558578
-71.5598369569,-33.017741422
-71.5798465668,-33.0258229073
-71.6461371177,-33.0197120344
-71.584796225,-33.043239595
-71.5573695854,-33.0305612248
-71.6523502118,-33.050457732
-71.5900870779,-33.0595658699
-71.621332153,-33.0431872257
-71.6558518711,-33.0378328412
-71.6007352679,-33.0519171619
-71.6440344782,-33.0490104451
-71.5728137375,-33.0206786464
-71.6330089228,-33.0293927275
-71.6347335143,-33.0193390076
-71.5369563078,-33.0411578113
-71.6184517437,-33.0596064387
-71.5463436641,-33.0112990546
-71.5483751161,-32.9907074244
-71.5512512842,-33.0072047904
-71.6266779875,-33.0568761164
-71.6404208228,-33.042174397
-71.5475895483,-32.9937811073
-71.6495160483,-33.0394611397
-71.5721352198,-33.0364754078
-71.5701057543,-33.0329527837
-71.5992256044,-33.0377115451
-71.5832568085,-33.0340031016
-71.6264822003,-33.041298689
-71.5461813272,-33.0137362387
-71.6029235641,-33.051369243
-71.6336130774,-33.0244978775
-71.5327193034,-33.0316120786
-71.6063839416,-33.0442328967
-71.6041793651,-33.0480882073
-71.5476011946,-33.021056983
-71.6543572903,-33.0266041773
-71.5543753537,-33.0010573169
-71.5642952169,-33.0354064088
-71.5433887155,-33.0418010739
-71.6309105814,-33.0528040292
-71.5829234994,-33.040529154
-71.6465393654,-33.0315793713
-71.5993672605,-33.0407284702
-71.6026585135,-33.040431264
-71.5317448671,-33.0255987719
-71.5665015053,-33.0326895128
-71.5428584316,-33.0145409673
-71.6185571184,-33.0535744044
-71.5878178641,-33.0320552695
-71.6481030626,-33.0353839093
-71.559573961,-33.0113278634
-71.6160384143,-33.0480960671
-71.6332229102,-33.0432447194
-71.5918307701,-33.0456713998
-71.5747885039,-33.0432494172
-71.5734478995,-33.0196528474
-71.6305977624,-33.0528022212
-71.6351684393,-33.0553661136
-71.6345982306,-33.0326638638
-71.5405674452,-33.0435944906
-71.599912427,-33.0366188687
-71.5339666201,-33.0381705821
-71.5633896344,-33.0256387644
-71.5318950178,-33.0247806878
-71.6577319369,-33.0465715882
-71.5844834658,-33.0432400099
-71.5526501608,-32.9982017748
-71.6233954482,-33.0511300626
-71.6004520382,-33.0369360321
-71.6353602481,-33.0258678339
-71.6169848812,-33.051379873
-71.5512513143,-32.9911010256
-71.5719411854,-33.05471168
-71.5473029778,-33.0069523443
-71.5924453081,-33.0560104905
-71.5815078939,-33.0478567034
-71.5831086614,-33.0320953022
-71.5511913688,-33.0245793357
-71.5394243344,-33.0086387978
-71.6443346857,-33.0419075231
-71.6273189985,-33.0552564937
-71.5762011527,-33.0380972673
-71.5438099575,-33.0134660916
-71.5336656093,-33.0332519329
-71.5405380174,-33.0061687884
-71.59854345,-33.0590307589
-71.5434087289,-33.0283886121
-71.579054863,-33.026642636
-71.6332115343,-33.0405255488
-71.5838359155,-33.0607498947
-71.5694599233,-33.0443428375
-71.5738441877,-33.0470528046
-71.5780829804,-33.0353803838
-71.5361574467,-33.0256239111
-71.5374414034,-33.0139192619
-71.6151010132,-33.0579476129
-71.5317610184,-33.0277836066
-71.6201132255,-33.0513910527
-71.5492004043,-32.9959913739
-71.6118273827,-33.0527374083
-71.5610590762,-33.022108734
-71.5725858769,-33.0492352056
-71.5532110537,-32.9995532675
-71.5729251652,-33.0324032048
-71.5963780478,-33.0432079666
-71.5427099614,-33.0164301436
-71.5665318834,-33.0245311581
-71.5637341485,-33.0207249258
-71.6082351505,-33.0590222035
-71.5562470731,-33.0109971495
-71.5744492401,-33.0547066007
-71.6269960608,-33.0568475912
-71.5976338321,-33.0426557187
-71.5657528536,-33.0237165267
-71.553729982,-32.9990004496
-71.5744865462,-33.0340297574
-71.604794857,-33.0579334158
-71.5978236477,-33.0369066914
-71.5334675731,-33.0242433176
-71.6482754843,-33.0498631279
-71.5754477111,-33.0280300745
-71.5810337075,-33.0508510402
-71.6307088667,-33.0415995868
-71.5892136627,-33.0345075532
-71.5778175993,-33.024441559
-71.5844711102,-33.0524798841
-71.6391729889,-33.0443496386
-71.5568083338,-33.0256868705
-71.5866582198,-33.0535667525
-71.5874876622,-33.0347955187
-71.5502780601,-33.0121019261
-71.5532492557,-33.0172480084
-71.6076100692,-33.0546486052
